sample,class,id,order,batch
NZ_20200227_001,Z,NZ_20200227_001,1,1
NZ_20200227_003,SV,NZ_20200227_003,3,1
NZ_20200227_099,SV,NZ_20200227_099,99,1
NZ_20200227_005,B,NZ_20200227_005,5,1
NZ_20200227_095,B,NZ_20200227_095,95,1
NZ_20200227_007,SSS,NZ_20200227_007,7,1
NZ_20200227_097,SSS,NZ_20200227_097,97,1
NZ_20200227_009,SCQC,NZ_20200227_009,9,1
NZ_20200227_011,SCQC,NZ_20200227_011,11,1
NZ_20200227_013,SCQC,NZ_20200227_013,13,1
NZ_20200227_015,SCQC,NZ_20200227_015,15,1
NZ_20200227_017,SCQC,NZ_20200227_017,17,1
NZ_20200227_019,SCQC,NZ_20200227_019,19,1
NZ_20200227_021,SCQC,NZ_20200227_021,21,1
NZ_20200227_023,SCQC,NZ_20200227_023,23,1
NZ_20200227_025,QC,NZ_20200227_025,25,1
NZ_20200227_027,QC,NZ_20200227_027,27,1
NZ_20200227_029,QC,NZ_20200227_029,29,1
NZ_20200227_039,QC,NZ_20200227_039,39,1
NZ_20200227_049,QC,NZ_20200227_049,49,1
NZ_20200227_059,QC,NZ_20200227_059,59,1
NZ_20200227_069,QC,NZ_20200227_069,69,1
NZ_20200227_079,QC,NZ_20200227_079,79,1
NZ_20200227_089,QC,NZ_20200227_089,89,1
NZ_20200227_091,QC,NZ_20200227_091,91,1
NZ_20200227_093,QC,NZ_20200227_093,93,1
NZ_20200227_031,4,NZ_20200227_031,31,1
NZ_20200227_047,4,NZ_20200227_047,47,1
NZ_20200227_053,4,NZ_20200227_053,53,1
NZ_20200227_063,4,NZ_20200227_063,63,1
NZ_20200227_075,4,NZ_20200227_075,75,1
NZ_20200227_085,4,NZ_20200227_085,85,1
NZ_20200227_033,1,NZ_20200227_033,33,1
NZ_20200227_043,1,NZ_20200227_043,43,1
NZ_20200227_057,1,NZ_20200227_057,57,1
NZ_20200227_061,1,NZ_20200227_061,61,1
NZ_20200227_071,1,NZ_20200227_071,71,1
NZ_20200227_087,1,NZ_20200227_087,87,1
NZ_20200227_035,3,NZ_20200227_035,35,1
NZ_20200227_041,3,NZ_20200227_041,41,1
NZ_20200227_055,3,NZ_20200227_055,55,1
NZ_20200227_067,3,NZ_20200227_067,67,1
NZ_20200227_077,3,NZ_20200227_077,77,1
NZ_20200227_081,3,NZ_20200227_081,81,1
NZ_20200227_037,2,NZ_20200227_037,37,1
NZ_20200227_045,2,NZ_20200227_045,45,1
NZ_20200227_051,2,NZ_20200227_051,51,1
NZ_20200227_065,2,NZ_20200227_065,65,1
NZ_20200227_073,2,NZ_20200227_073,73,1
NZ_20200227_083,2,NZ_20200227_083,83,1
