,class,id
NZ_20200226_005,SSS1,NZ_20200226_005
NZ_20200226_007,SSS1,NZ_20200226_007
NZ_20200226_009,SSS1,NZ_20200226_009
NZ_20200226_011,SSS1,NZ_20200226_011
NZ_20200226_013,SSS1,NZ_20200226_013
NZ_20200226_015,SSS1,NZ_20200226_015
NZ_20200226_017,SSS1,NZ_20200226_017
NZ_20200226_019,SSS1,NZ_20200226_019
NZ_20200226_021,SSS1,NZ_20200226_021
NZ_20200226_023,SSS1,NZ_20200226_023
NZ_20200227_007,SSS2,NZ_20200227_007
NZ_20200227_009,SCQC,NZ_20200227_009
NZ_20200227_011,SCQC,NZ_20200227_011
NZ_20200227_013,SCQC,NZ_20200227_013
NZ_20200227_015,SCQC,NZ_20200227_015
NZ_20200227_017,SCQC,NZ_20200227_017
NZ_20200227_019,SCQC,NZ_20200227_019
NZ_20200227_021,SCQC,NZ_20200227_021
NZ_20200227_023,SCQC,NZ_20200227_023
NZ_20200227_025,QC,NZ_20200227_025
NZ_20200227_027,QC,NZ_20200227_027
NZ_20200227_029,QC,NZ_20200227_029
NZ_20200227_039,QC,NZ_20200227_039
NZ_20200227_049,QC,NZ_20200227_049
NZ_20200227_059,QC,NZ_20200227_059
NZ_20200227_069,QC,NZ_20200227_069
NZ_20200227_079,QC,NZ_20200227_079
NZ_20200227_089,QC,NZ_20200227_089
NZ_20200227_091,QC,NZ_20200227_091
NZ_20200227_093,QC,NZ_20200227_093
NZ_20200227_097,SSS3,NZ_20200227_097
