# injections,sample type
69,blank
70,blank
71,blank
72,conditioning QC
73,conditioning QC
74,conditioning QC
75,conditioning QC
76,conditioning QC
77,conditioning QC
78,QC
79,QC
80,QC
81,study sample
82,study sample
83,study sample
84,study sample
85,study sample
86,QC
87,study sample
88,study sample
89,study sample
90,study sample
91,study sample
92,QC
93,study sample
94,study sample
95,study sample
96,study sample
97,study sample
98,QC
99,study sample
100,study sample
101,study sample
102,study sample
103,SRM
104,QC
105,QC
106,blank
107,blank
